movie_id,predicted_revenue
19994,8954514.567497414
25166,8183958.772968409
12120,31178305.767514136
9800,52793294.76959367
1090,10955440.406413488
18475,6667295.502833135
9781,4990481.0286583025
8009,11900708.669481244
3877,20671208.070297115
8854,9991332.936433336
152599,26596231.246361773
68727,12350082.30772359
12657,20469061.44730636
8265,13399744.051876327
34647,17633476.604050513
28178,26716172.638461262
264656,27313482.405137606
18777,7735123.771461949
90,17097468.096219704
771,59487432.600158155
9576,18906453.96430363
744,36888680.77532974
146,10716791.391708812
14,34119282.75924538
45269,27726295.021529816
9493,30721721.88480128
22556,14192441.931342378
873,17946591.6886692
33196,23337493.663982097
205596,21890367.568335295
16769,-4649261.967626934
33217,20938173.502149593
132232,17551284.118810922
11153,13976140.705751076
208134,18645951.890939794
1165,11903216.715419015
4011,33006459.29213796
17202,7889975.076181321
65086,24912474.36746981
10053,12423929.437990207
11870,21919323.513495635
11778,55476130.50376036
586,24717202.702762336
18736,13608146.670138948
134411,24477244.98094725
287903,21045075.806143895
9276,22214068.672555078
2142,8222177.015760665
11397,20242544.374581877
77016,14017134.588206826
11478,-1556784.976576777
266856,39602756.95178375
10564,1733428.2384749856
947,63541583.04873962
24150,7232008.944080952
228970,26968980.51759495
18405,19376094.155599315
6961,14032239.88089909
11442,20535319.333513398
2493,2083741.6230343452
14047,16755381.8891538
64690,33911638.414013445
11132,11392399.397968162
17127,4292069.706868321
1562,20148513.665820915
232679,10588115.865410069
17880,9300346.085489634
14736,12508124.634161744
23706,7232008.944080952
9100,3226707.9503610693
116,12464845.262984212
1245,41714731.78469425
4995,3234657.5004630345
14012,7564167.598102907
12212,3051226.022908242
8975,11147569.34642442
342521,20172488.40011907
45272,14023079.842130871
9424,15501069.291546844
97367,25121942.125381816
254904,18943651.462964844
12162,16010243.064782793
11495,7681793.167380569
64689,15409746.596419008
157849,28090301.251640223
37003,22850527.730069917
12211,10818738.901600627
51828,8726123.323306706
22798,4057582.369200622
7501,21398459.783634
97430,13226569.272736711
12257,16208388.017481761
14024,15069108.163659286
115,40147115.62303577
7874,11994559.575923901
4911,30694885.723018967
1988,11989025.596430717
16222,6982556.30131432
9557,19769121.27351633
8321,21687405.183931325
10186,5011975.90128778
25704,14434758.830108264
133694,9995695.063134626
19265,16394068.937363103
36047,14467855.539024819
8053,21611802.842221864
5236,7761586.157341732
6552,14581517.3595225
1018,36682764.99952912
42188,19996503.72519908
6687,11523443.288728273
8461,7608328.8506658655
19,46797238.127297096
10045,20327885.71366744
400,17196392.26866985
253450,14733115.701070819
16353,9204004.775494292
23759,34433248.22351158
24206,2351493.9207762475
10185,16886101.681962855
31668,20777439.729499865
13501,10154726.254876835
172391,26148257.588106796
137,40800494.446071334
264999,28941644.234520648
454,18518913.21941904
53457,9036459.517148254
33,38312209.46081364
1951,26921070.61937052
12405,39558541.37424861
10998,-3437031.462249918
114,24366194.525412258
2604,46505588.593788885
864,30188232.95013343
14435,11896098.41435157
1931,24148239.059964456
691,37067158.91894013
9877,14544202.460707128
12227,19010572.17498452
71688,14008494.17662184
8291,46654460.88649639
13950,11849691.645289466
12158,22214233.823326785
11586,14949023.315863224
12403,32864882.14942949
34563,13483312.927450433
10368,12603445.553856924
14434,13326115.945159215
11470,16966602.051733404
24940,9620202.23336431
82679,9971053.11473791
2013,19842686.742858954
1440,15827838.196062142
18041,15677427.397722023
87729,12829288.195684154
44754,19093356.768567808
43949,27316966.157128204
142,12525069.058397869
10712,7419493.858762441
243938,13656023.095443407
10876,15142428.70310855
86838,16180498.399707649
613,27161341.53194252
1913,10724723.910871865
97370,21311672.165533226
801,14711213.932025062
70829,8258273.738014512
54518,17111538.620577667
44214,18871214.324070606
240,65058247.710511126
9816,8757200.0731576
10131,20014312.639389288
339984,16136253.849830206
8859,36809959.76318145
11967,23133243.923956607
239563,15010588.516498275
222899,11766342.620600756
4951,15791553.564732889
332567,28090778.218854427
1954,34205706.40347848
22345,8398642.54812594
9448,15877149.420215664
11186,26497111.50796582
136835,31481564.054496784
5876,28659217.852567933
264660,17822568.750752237
492,11645533.643859789
238603,81251896.94284233
10691,18082697.48572074
1251,26037741.25844476
5172,8633330.536093079
58680,7860150.747908487
264644,6249027.334591512
11592,12807143.615136515
16406,18195906.06245061
3682,7786657.762980873
107811,18629399.781474225
2266,34197922.829206355
144340,8117670.779884701
28211,15847425.646311047
47502,2781741.3754597385
9950,18441978.636753462
84892,12220598.54808858
24227,4465008.750524271
9672,17117212.106566146
157544,22757267.719610993
59678,23200727.468591034
79777,13663663.015303725
158011,19658493.197360087
8952,29183689.99165199
62204,-119905.50015331703
13435,16335726.794870956
319,41383478.12463187
9504,27223625.58923139
26688,5709790.612154173
6615,10143874.058901273
14574,22514808.682845984
16,34124117.557502985
21612,7231818.320933195
36691,23479981.415108245
23631,13716319.56803257
45324,6125596.995171208
12144,36085303.38946104
56601,14062346.517137187
9552,65406927.04712006
578,52970018.05522252
2105,43566860.4451407
126319,15465823.717528904
10136,12801472.573511744
67660,37554142.96572279
10611,12200181.807182452
154,21362398.68669614
3049,15348857.773114203
860,43342736.991092
9281,5956327.5602426035
75674,17707845.126345653
9762,13102145.737141013
184,13435358.092904206
13335,9710743.657948773
76726,19770262.1143307
10269,18370217.41602801
36819,12217786.929167297
17130,8153814.753824006
57214,11792048.752893552
11202,44166274.42122436
9357,10410138.950427268
13812,15839357.08615518
9030,13604931.526077868
19084,2175150.147473074
8386,32730298.302248154
1360,8891554.592848377
101267,29101270.53000568
222935,25543068.37308734
10220,8145911.940044812
31915,5301485.905303946
11601,4157108.600280968
205220,15691649.583826624
14191,12517419.524207102
286565,23981434.045188148
129670,21211069.941649493
34549,7348573.766185277
57157,23494744.49663398
1948,15914559.843778279
46889,17217784.341210093
387,34973911.4558815
60599,15586604.014157208
227719,22192823.389853064
12088,38101491.22718087
14799,10906984.79451545
7510,13038269.55319806
31246,20814177.14513211
61752,6400851.477449581
10944,14054438.009143146
10362,15205202.149494791
1255,18785708.42059573
179144,32760075.72401004
86825,17894165.00037817
844,26607631.012681175
38448,12705781.69011648
327,9870634.391789962
21345,16595782.861100428
173931,4480866.555576962
61984,14662522.449186679
50601,11382529.546057826
236751,24147829.582256883
107,13331534.21145841
8913,21308327.5900618
927,23944725.097302422
11,50952234.03039561
291870,17274655.94600762
907,56563310.608751275
45317,27716292.65136619
12094,6652063.262826689
10377,23004209.610793084
249164,17659073.880762044
9942,28043477.717646405
1817,7347416.178041936
10229,17486600.633100823
687,64876776.329852976
796,12877615.322639184
22804,8677521.154639049
10156,14014342.05382393
12837,19199405.780739862
17708,7198448.551894343
13937,33045942.787529904
28932,-7369158.227274326
31909,21164282.35767106
167073,32014412.2905657
3175,37445949.867749564
14369,13854978.278897263
16888,11465414.023823954
121826,10524552.048437761
10646,3049210.3132647765
12149,14721251.60378995
304357,21055249.74762559
20009,10018031.910086846
1587,26621159.236497324
30973,6459188.906173168
63020,22031634.04778218
86829,21589157.14557029
13888,36110502.69065854
42345,2930075.3124381583
11917,12040556.58485201
14395,6603001.290255582
24137,8367153.015280049
62,3432977.1993420133
601,55827293.81313684
13067,16834938.105365764
88641,17764975.497168098
96399,17930682.166066468
489,30887865.945992846
214,9739470.855447782
10890,19211310.182007764
1588,12641211.54875601
316727,20782602.309828565
10314,9062207.67617949
663,10289877.584258437
11804,17421729.780503247
16781,7425886.653871831
11873,6070290.160067693
9289,4474744.919880724
10414,25239176.265290685
1970,16576866.831966829
9614,10870982.533000406
8922,39296349.46321472
1648,37559495.044764064
17917,845622.7950470787
74534,29720879.887834426
19405,11002180.871821875
9355,37597284.56777738
10999,25212222.958060585
321258,1983472.3118873045
44040,16428139.68379913
10426,17643572.19933434
280092,26503749.695769925
13938,5906326.623507437
10163,31272354.76284319
12182,6484009.746066073
1832,25092865.830825444
15301,16461490.002253694
10135,35622113.70244915
26352,21324229.50455945
20616,20041474.9605855
9794,10231214.114090798
15037,15893562.327358233
227,42424172.348156705
294272,41134098.86549937
11336,13026442.180969182
283445,13463096.325608443
88036,16854205.536949757
22824,13705591.890247311
11545,3470691.0527139525
42684,16977333.40930367
268238,20721753.973651346
41823,27992604.72399361
9362,28527399.03815717
9902,24382133.088791046
14729,42956864.940503895
9455,7612478.303506292
103731,10314283.156270472
10090,11099253.254958367
75900,21896660.2493951
9515,19125479.931651533
328425,13144800.203758737
1542,10684994.545636447
10490,14468274.015269654
87093,6736599.110012373
10029,11712144.76904946
11507,18115632.580587097
37931,14921750.471242247
87818,-5855721.31307549
88005,20279714.376381245
73,35724291.86623822
14283,7473013.609250652
209403,7314192.903627005
7942,5756530.322547222
73247,4857698.98644459
253331,10262229.619209046
9952,5998814.908000616
256924,20994057.6974023
