movie_id,predicted_rating
19994,5
25166,4
12120,5
9800,5
1090,5
18475,5
9781,5
8009,5
3877,5
8854,4
152599,5
68727,5
12657,4
8265,5
34647,5
28178,5
264656,5
18777,5
90,5
771,5
9576,5
744,5
146,5
14,5
45269,5
9493,5
22556,5
873,5
33196,4
205596,5
16769,5
33217,5
132232,5
11153,4
208134,5
1165,5
4011,5
17202,5
65086,5
10053,5
11870,5
11778,5
586,5
18736,4
134411,5
287903,5
9276,5
2142,5
11397,5
77016,5
11478,5
266856,5
10564,5
947,5
24150,5
228970,5
18405,5
6961,5
11442,5
2493,5
14047,5
64690,5
11132,4
17127,5
1562,5
232679,4
17880,5
14736,5
23706,5
9100,5
116,5
1245,5
4995,5
14012,5
12212,5
8975,5
342521,5
45272,5
9424,5
97367,5
254904,5
12162,5
11495,5
64689,5
157849,5
37003,5
12211,5
51828,5
22798,5
7501,5
97430,5
12257,5
14024,5
115,5
7874,5
4911,5
1988,5
16222,5
9557,5
8321,5
10186,5
25704,5
133694,5
19265,5
36047,5
8053,5
5236,5
6552,5
1018,5
42188,5
6687,5
8461,5
19,5
10045,5
400,5
253450,5
16353,5
23759,5
24206,5
10185,5
31668,5
13501,4
172391,4
137,5
264999,5
454,5
53457,5
33,5
1951,5
12405,5
10998,5
114,5
2604,5
864,5
14435,5
1931,5
691,5
9877,5
12227,5
71688,5
8291,5
13950,4
12158,5
11586,5
12403,5
34563,4
10368,5
14434,5
11470,5
24940,5
82679,5
2013,5
1440,5
18041,5
87729,5
44754,5
43949,5
142,5
10712,4
243938,5
10876,5
86838,5
613,5
1913,5
97370,5
801,5
70829,5
54518,4
44214,5
240,5
9816,5
10131,5
339984,4
8859,5
11967,5
239563,5
222899,5
4951,5
332567,5
1954,5
22345,5
9448,5
11186,5
136835,5
5876,5
264660,5
492,5
238603,5
10691,5
1251,5
5172,5
58680,4
264644,5
11592,5
16406,5
3682,5
107811,5
2266,5
144340,5
28211,5
47502,5
9950,5
84892,5
24227,5
9672,5
157544,5
59678,5
79777,5
158011,5
8952,5
62204,5
13435,5
319,5
9504,5
26688,5
6615,5
14574,5
16,5
21612,4
36691,5
23631,5
45324,5
12144,5
56601,5
9552,5
578,5
2105,5
126319,5
10136,5
67660,5
10611,5
154,5
3049,5
860,5
9281,5
75674,5
9762,5
184,5
13335,5
76726,5
10269,5
36819,5
17130,5
57214,5
11202,5
9357,5
13812,5
9030,5
19084,5
8386,5
1360,5
101267,5
222935,5
10220,5
31915,5
11601,5
205220,5
14191,5
286565,5
129670,5
34549,5
57157,5
1948,5
46889,5
387,5
60599,5
227719,5
12088,5
14799,5
7510,5
31246,5
61752,4
10944,5
10362,5
1255,5
179144,5
86825,5
844,5
38448,5
327,5
21345,5
173931,4
61984,5
50601,4
236751,5
107,5
8913,5
927,5
11,5
291870,4
907,5
45317,5
12094,5
10377,5
249164,5
9942,5
1817,5
10229,4
687,5
796,5
22804,5
10156,5
12837,5
17708,5
13937,5
28932,5
31909,5
167073,5
3175,5
14369,5
16888,5
121826,5
10646,5
12149,5
304357,5
20009,5
1587,5
30973,5
63020,5
86829,5
13888,5
42345,5
11917,5
14395,5
24137,5
62,5
601,5
13067,5
88641,5
96399,4
489,5
214,5
10890,5
1588,5
316727,5
10314,4
663,5
11804,5
16781,5
11873,5
9289,5
10414,5
1970,5
9614,5
8922,5
1648,5
17917,5
74534,5
19405,4
9355,5
10999,5
321258,5
44040,5
10426,5
280092,5
13938,5
10163,5
12182,5
1832,5
15301,5
10135,5
26352,5
20616,5
9794,5
15037,5
227,5
294272,4
11336,5
283445,5
88036,5
22824,5
11545,5
42684,5
268238,5
41823,5
9362,5
9902,5
14729,5
9455,5
103731,5
10090,5
75900,5
9515,5
328425,5
1542,5
10490,5
87093,5
10029,5
11507,5
37931,5
87818,5
88005,5
73,5
14283,5
209403,5
7942,5
73247,5
253331,5
9952,5
256924,5
